Year,Month,Date,Hour,Place,Temperature,Temperature Category,Day Status,Ride Demand
2023,3,21,19,Yeshwantpur,26.030448358263325,Moderate Temp (Clear),Working Day,79
2024,3,1,6,Jeevanbhima Nagar,11.129214486825347,Low Temp (Rainy),Working Day,21
2024,3,1,5,Hebbal,23.627053146322584,Moderate Temp (Clear),Working Day,20
2024,10,14,22,Shivajinagar,21.57777410890399,Moderate Temp (Clear),Working Day,75
2024,1,14,21,JP Nagar,21.868797427121777,Moderate Temp (Clear),Holiday,137
2024,5,23,18,Banashankari,27.749661155441103,Moderate Temp (Clear),Working Day,96
2024,4,17,23,Malleswaram,30.30368632189827,High Temp (Sunny),Working Day,54
2024,5,22,5,Bellandur,25.89311521400015,Moderate Temp (Clear),Working Day,21
2022,8,26,8,R.T. Nagar,16.03552978757918,Low Temp (Rainy),Working Day,34
2023,7,12,20,Vasanthnagar,23.886645365747007,Moderate Temp (Clear),Working Day,128
2022,10,16,3,Domlur,19.142690432870246,Moderate Temp (Clear),Holiday,21
2024,6,21,20,HSR Layout,17.46897597631253,Low Temp (Rainy),Working Day,88
2023,12,16,10,Jeevanbhima Nagar,21.2268929178491,Moderate Temp (Clear),Holiday,93
2023,6,2,14,BTM Layout,16.216205470522738,Low Temp (Rainy),Working Day,46
2022,12,13,18,JP Nagar,10.491121572643292,Low Temp (Rainy),Working Day,50
2024,11,3,0,Marathahalli,21.49970091240184,Moderate Temp (Clear),Holiday,21
2022,7,6,18,Bannerghatta,18.691920007570573,Moderate Temp (Clear),Working Day,99
2023,2,16,13,Sadashivanagar,22.997425834190206,Moderate Temp (Clear),Working Day,95
2023,12,11,16,Banashankari,27.810808618358347,Moderate Temp (Clear),Working Day,97
2024,4,17,9,HSR Layout,15.354424413164008,Low Temp (Rainy),Working Day,82
2022,11,10,23,Marathahalli,16.419463952637496,Low Temp (Rainy),Working Day,46
2024,10,10,17,Hebbal,17.509519628964576,Low Temp (Rainy),Working Day,94
2024,2,21,2,Marathahalli,15.90613532010296,Low Temp (Rainy),Working Day,20
